kind,rail_hz,band,total_hits,endpoint_hits,grid_hits,skin_count,variant_count,top_stages,top_states,nearest_table,nearest_table_label,nearest_table_target_hz,nearest_table_cents
zero,7350.0,air,23,10,23,15,17,S4:8;S6:6;S5:3;S1:3,GRID:12;PUSH_AWAY:5;AWAY:4;CENTER:1;HOME:1,,,,
zero,13300.0,air,21,10,21,14,17,S4:6;S6:6;S1:3;S3:2,GRID:10;HOME:8;PUSH_HOME:1;PUSH_AWAY:1;CENTER:1,,,,
zero,2370.0,bite,26,10,26,12,15,S3:14;S1:5;S4:3;S6:2,GRID:15;PUSH_AWAY:5;AWAY:4;CENTER:1;HOME:1,tube,co_18cm:p3,2381.0,8.02
zero,3310.0,bite,32,10,32,12,14,S4:17;S3:10;S5:3;S6:1,GRID:22;HOME:6;PUSH_HOME:4,klatt,a:f4,3300.0,5.24
zero,7925.0,air,30,10,30,12,15,S5:21;S6:4;S2:4;S4:1,GRID:19;HOME:4;PUSH_HOME:3;AWAY:2;CENTER:1,,,,
zero,3870.0,tear,44,10,44,10,10,S5:30;S3:6;S6:4;S4:3,GRID:32;PUSH_AWAY:5;AWAY:3;CENTER:2;HOME:1,tube,oo_18cm:p4,3811.0,26.6
zero,4950.0,tear,18,10,18,9,10,S4:6;S3:4;S5:3;S2:3,GRID:7;AWAY:5;PUSH_AWAY:5;CENTER:1,tube,oo_18cm:p5,4764.0,66.31
zero,12325.0,air,21,10,21,8,8,S3:12;S2:5;S6:3;S1:1,GRID:11;HOME:6;PUSH_HOME:4,,,,
pole,8.0,sub,62,10,62,5,5,S2:21;S6:13;S4:9;S5:7,GRID:49;HOME:4;CENTER:3;PUSH_AWAY:3;PUSH_HOME:2,,,,
zero,12.0,sub,35,10,35,4,6,S4:13;S6:9;S1:5;S5:3,GRID:25;AWAY:4;PUSH_HOME:3;HOME:2;PUSH_AWAY:1,,,,
